,datetime,code,open,volume,amt,open_interest,index,index_smooth
4026,2020/1/2 14:06,IF2006.CFE,4189.2,2,2513520,14411.48,4159.64,4157.122134
4027,2020/1/2 14:07,IF2006.CFE,4188.8,8,10049220,14415.05882,4158.87,4157.07523
4028,2020/1/2 14:08,IF2006.CFE,4186.2,5,6276960,14418.03333,4157.28,4157.028661
4029,2020/1/2 14:09,IF2006.CFE,4185.6,7,8788080,14420.55556,4155.78,4156.975858
4030,2020/1/2 14:10,IF2006.CFE,4183.2,3,3764640,14423.75758,4154.93,4156.911841
4031,2020/1/2 14:11,IF2006.CFE,4182.8,3,3765540,14424.86842,4153.45,4156.830335
4032,2020/1/2 14:12,IF2006.CFE,4184,11,13799340,14426.66667,4153.48,4156.745732
4033,2020/1/2 14:13,IF2006.CFE,4180.4,16,20064480,14428.21154,4152.8,4156.653682
4034,2020/1/2 14:14,IF2006.CFE,4181.4,7,8779380,14428.44186,4152.63,4156.558619
4035,2020/1/2 14:15,IF2006.CFE,4181.6,3,3762900,14429.02326,4151.85,4156.458703
4036,2020/1/2 14:16,IF2006.CFE,4181,0,0,14430,4151.89,4156.380669
4037,2020/1/2 14:17,IF2006.CFE,4181,1,1254720,14429.62162,4152.6,4156.315816
4038,2020/1/2 14:18,IF2006.CFE,4182.4,9,11293260,14431.25,4153.27,4156.253138
4039,2020/1/2 14:19,IF2006.CFE,4182.6,7,8784300,14434.92308,4154.14,4156.193054
4040,2020/1/2 14:20,IF2006.CFE,4182,9,11291820,14438.94737,4154.22,4156.127531
4041,2020/1/2 14:21,IF2006.CFE,4181,4,5016960,14442,4153.61,4156.063138
4042,2020/1/2 14:22,IF2006.CFE,4181.4,3,3763500,14442.75472,4153.23,4155.999749
4043,2020/1/2 14:23,IF2006.CFE,4182.4,10,12549060,14444.91304,4153.29,4155.940167
4044,2020/1/2 14:24,IF2006.CFE,4183.2,14,17579760,14449.3,4153.74,4155.890753
4045,2020/1/2 14:25,IF2006.CFE,4189.2,14,17587740,14455.84932,4156.58,4155.842343
4046,2020/1/2 14:26,IF2006.CFE,4187,4,5023680,14463.05,4157.14,4155.79682
4047,2020/1/2 14:27,IF2006.CFE,4185.8,24,30105480,14473.70667,4156.95,4155.741925
4048,2020/1/2 14:28,IF2006.CFE,4180,4,5016360,14480.74242,4153.17,4155.681548
4049,2020/1/2 14:29,IF2006.CFE,4180.2,11,13796220,14485.36842,4154.03,4155.619707
4050,2020/1/2 14:30,IF2006.CFE,4180.6,7,8778420,14491.44737,4154.18,4155.560753
